Period,age,pi,year,cohort,prop_col,data,prop_no_col,college_share_model
1995-1999,95,.2036399990320206,1995,1900,.046971399,0,.95302862,
1970-1974,70,.8047500252723694,1970,1900,.046971399,0,.95302862,
1935-1939,35,.9738600254058838,1935,1900,.046971399,0,.95302862,
1965-1969,65,.858519971370697,1965,1900,.046971399,0,.95302862,
1955-1959,55,.9317299723625183,1955,1900,.046971399,0,.95302862,
1960-1964,60,.8984000086784363,1960,1900,.046971399,0,.95302862,
1975-1979,75,.7536100149154663,1975,1900,.046971399,0,.95302862,
1980-1984,80,.651669979095459,1980,1900,.046971399,0,.95302862,
1940-1944,40,.9716100096702576,1940,1900,.046971399,0,.95302862,
1950-1954,50,.9497600197792053,1950,1900,.046971399,0,.95302862,
1980-1984,75,.7643300294876099,1980,1905,.046971399,0,.95302862,
1945-1949,40,.9759399890899658,1945,1905,.046971399,0,.95302862,
2000-2004,95,.1890199929475784,2000,1905,.046971399,0,.95302862,
1940-1944,35,.979669988155365,1940,1905,.046971399,0,.95302862,
1975-1979,70,.8237199783325195,1975,1905,.046971399,0,.95302862,
1970-1974,65,.8670700192451477,1970,1905,.046971399,0,.95302862,
1935-1939,30,.9803299903869629,1935,1905,.046971399,0,.95302862,
1960-1964,55,.9343699812889099,1960,1905,.046971399,0,.95302862,
1985-1989,80,.6603099703788757,1985,1905,.046971399,0,.95302862,
1995-1999,90,.3545899987220764,1995,1905,.046971399,0,.95302862,
1955-1959,50,.9538000226020813,1955,1905,.046971399,0,.95302862,
1950-1954,45,.9680500030517578,1950,1905,.046971399,0,.95302862,
1965-1969,60,.9009100198745728,1965,1905,.046971399,0,.95302862,
1990-1994,85,.5360199809074402,1990,1905,.046971399,0,.95302862,
1950-1954,40,.9791499972343445,1950,1910,.04697137,0,.95302862,.04697137
1955-1959,45,.9708200097084045,1955,1910,.04697137,0,.95302862,.04697137
1945-1949,35,.9833700060844421,1945,1910,.04697137,0,.95302862,.04697137
1970-1974,60,.9073200225830078,1970,1910,.04697137,0,.95302862,.04697137
1975-1979,65,.8826000094413757,1975,1910,.04697137,0,.95302862,.04697137
1985-1989,75,.7706900238990784,1985,1910,.04697137,0,.95302862,.04697137
1995-1999,85,.5281400084495544,1995,1910,.04697137,0,.95302862,.04697137
2000-2004,90,.3443599939346313,2000,1910,.04697137,0,.95302862,.04697137
2005-2009,95,.2011300027370453,2005,1910,.04697137,0,.95302862,.04697137
1935-1939,25,.9830600023269653,1935,1910,.04697137,0,.95302862,.04697137
1940-1944,30,.9843999743461609,1940,1910,.04697137,0,.95302862,.04697137
1960-1964,50,.9546200037002563,1960,1910,.04697137,0,.95302862,.04697137
1980-1984,70,.834850013256073,1980,1910,.04697137,0,.95302862,.04697137
1965-1969,55,.9341700077056885,1965,1910,.04697137,0,.95302862,.04697137
1990-1994,80,.6749100089073181,1990,1910,.04697137,0,.95302862,.04697137
1955-1959,40,.9814599752426147,1955,1915,.045660116,1,.95433986,.045660116
1985-1989,70,.8403300046920776,1985,1915,.045660116,1,.95433986,.045660116
1990-1994,75,.7851399779319763,1990,1915,.045660116,1,.95433986,.045660116
1960-1964,45,.9711999893188477,1960,1915,.045660116,1,.95433986,.045660116
1980-1984,65,.8870900273323059,1980,1915,.045660116,1,.95433986,.045660116
2000-2004,85,.5285199880599976,2000,1915,.045660116,1,.95433986,.045660116
2010-2014,95,.2181600034236908,2010,1915,.045660116,1,.95433986,.045660116
1965-1969,50,.95524001121521,1965,1915,.045660116,1,.95433986,.045660116
1995-1999,80,.6761400103569031,1995,1915,.045660116,1,.95433986,.045660116
2005-2009,90,.36599001288414,2005,1915,.045660116,1,.95433986,.045660116
1940-1944,25,.9872499704360962,1940,1915,.045660116,1,.95433986,.045660116
1970-1974,55,.9364799857139587,1970,1915,.045660116,1,.95433986,.045660116
1975-1979,60,.9164999723434448,1975,1915,.045660116,1,.95433986,.045660116
1935-1939,20,.9853399991989136,1935,1915,.045660116,1,.95433986,.045660116
1945-1949,30,.9881100058555603,1945,1915,.045660116,1,.95433986,.045660116
1950-1954,35,.986810028553009,1950,1915,.045660116,1,.95433986,.045660116
1965-1969,45,.9709200263023376,1965,1920,.048640829,0,.95135915,.048640829
1940-1944,20,.9879400134086609,1940,1920,.048640829,0,.95135915,.048640829
1955-1959,35,.988290011882782,1955,1920,.048640829,0,.95135915,.048640829
1980-1984,60,.9227700233459473,1980,1920,.048640829,0,.95135915,.048640829
2000-2004,80,.6871500015258789,2000,1920,.048640829,0,.95135915,.048640829
2005-2009,85,.5588700175285339,2005,1920,.048640829,0,.95135915,.048640829
2010-2014,90,.3884199857711792,2010,1920,.048640829,0,.95135915,.048640829
1950-1954,30,.9907400012016296,1950,1920,.048640829,0,.95135915,.048640829
1985-1989,65,.8923199772834778,1985,1920,.048640829,0,.95135915,.048640829
2015-2020,95,.25176282,2015,1920,.048640829,0,.95135915,.048640829
1975-1979,55,.9449599981307983,1975,1920,.048640829,0,.95135915,.048640829
1960-1964,40,.9818199872970581,1960,1920,.048640829,0,.95135915,.048640829
1990-1994,70,.8517900109291077,1990,1920,.048640829,0,.95135915,.048640829
1995-1999,75,.7912499904632568,1995,1920,.048640829,0,.95135915,.048640829
1970-1974,50,.958329975605011,1970,1920,.048640829,0,.95135915,.048640829
1945-1949,25,.9904500246047974,1945,1920,.048640829,0,.95135915,.048640829
2015-2020,90,.43003608,2015,1925,.060667492,1,.93933249,.060667492
1995-1999,70,.8576300144195557,1995,1925,.060667492,1,.93933249,.060667492
1965-1969,40,.9813500046730042,1965,1925,.060667492,1,.93933249,.060667492
1990-1994,65,.8988699913024902,1990,1925,.060667492,1,.93933249,.060667492
1950-1954,25,.9924299716949463,1950,1925,.060667492,1,.93933249,.060667492
1960-1964,35,.9882500171661377,1960,1925,.060667492,1,.93933249,.060667492
1980-1984,55,.9484900236129761,1980,1925,.060667492,1,.93933249,.060667492
1975-1979,50,.9629799723625183,1975,1925,.060667492,1,.93933249,.060667492
2005-2009,80,.7178900241851807,2005,1925,.060667492,1,.93933249,.060667492
1985-1989,60,.9260299801826477,1985,1925,.060667492,1,.93933249,.060667492
2010-2014,85,.5885300040245056,2010,1925,.060667492,1,.93933249,.060667492
1955-1959,30,.9917799830436707,1955,1925,.060667492,1,.93933249,.060667492
1945-1949,20,.9908099770545959,1945,1925,.060667492,1,.93933249,.060667492
2020-2025,95,.25300114,2020,1925,.060667492,1,.93933249,.060667492
1970-1974,45,.9720799922943115,1970,1925,.060667492,1,.93933249,.060667492
2000-2004,75,.8013700246810913,2000,1925,.060667492,1,.93933249,.060667492
1950-1954,20,.9929100275039673,1950,1930,.082731463,0,.91726851,.082731463
1990-1994,60,.931659996509552,1990,1930,.082731463,0,.91726851,.082731463
1955-1959,25,.9934099912643433,1955,1930,.082731463,0,.91726851,.082731463
2005-2009,75,.8200299739837646,2005,1930,.082731463,0,.91726851,.082731463
1980-1984,50,.9666100144386292,1980,1930,.082731463,0,.91726851,.082731463
2000-2004,70,.868690013885498,2000,1930,.082731463,0,.91726851,.082731463
1970-1974,40,.9821299910545349,1970,1930,.082731463,0,.91726851,.082731463
2015-2020,85,.60169542,2015,1930,.082731463,0,.91726851,.082731463
2010-2014,80,.7374600172042847,2010,1930,.082731463,0,.91726851,.082731463
2025-2030,95,.26015718,2025,1930,.082731463,0,.91726851,.082731463
1985-1989,55,.9517899751663208,1985,1930,.082731463,0,.91726851,.082731463
2020-2025,90,.43773578,2020,1930,.082731463,0,.91726851,.082731463
1975-1979,45,.9761199951171875,1975,1930,.082731463,0,.91726851,.082731463
1960-1964,30,.991919994354248,1960,1930,.082731463,0,.91726851,.082731463
1995-1999,65,.9050800204277039,1995,1930,.082731463,0,.91726851,.082731463
1965-1969,35,.987779974937439,1965,1930,.082731463,0,.91726851,.082731463
1960-1964,25,.9935200214385986,1960,1935,.11070506,1,.88929492,.082731463
2010-2014,75,.832099974155426,2010,1935,.11070506,1,.88929492,.082731463
2030-2035,95,.27217662,2030,1935,.11070506,1,.88929492,.082731463
1990-1994,55,.9556800127029419,1990,1935,.11070506,1,.88929492,.082731463
1970-1974,35,.9882799983024597,1970,1935,.11070506,1,.88929492,.082731463
2000-2004,65,.9129800200462341,2000,1935,.11070506,1,.88929492,.082731463
