year,Gini_dta_5yr,Gini_data_wealth_trend,psid_ntx_govt__,psid_nts_govt__,psid_ntp_govt__,psid_ntl_govt__,psid_ntk_govt__,psid_ntc_govt__,psid_nsh_govt__,psid_nls_govt__,psid_nlb_govt__,psid_nga_govt__,psid_nds_govt__,psid_ndp_govt__,psid_ndo_govt__,psid_ndm_govt__,psid_ncs_govt__,psid_ncp_govt__,psid_all_govt__,nstr_ndm_govt__,nstr_all_govt__,ndel_ndm_govt__,ndel_all_govt__,hrat_ndm_govt__,hrat_all_govt__,gcbo_ndm_govt__,gcbo_all_govt__,exor_all_govt__,crr3_ndm_govt__,crr3_all_govt__,beqs_ndm_govt__,beqs_all_govt__,_merge
2015,.85074395,.84225714,.76521498,.76420313,.75301075,.75735921,.76315492,.75818181,.73753983,.76760823,.7265529,.75995332,.73599917,.74824667,.76703674,.74147964,.75111836,.75031281,.75557154,.71789205,.73364806,.56937814,.59852421,.74718177,.76166171,.74248415,.75731915,.73487973,.71639186,.73129588,.72887617,.7425819,3
1935,,,.75231606,.75231606,.75231606,.75231606,.75231606,.75231606,.7356239,.75231606,.7356239,.75231606,.75231606,.75231606,.75231606,.75231606,.75231606,.75231606,.75231606,.71692729,.71692729,.57260364,.57260364,.75607383,.75607383,.75615495,.75615495,.75365525,.71855831,.71855831,.74779302,.74779302,2
1940,,,.75013691,.75038034,.74992061,.750278,.75005442,.74979317,.73359215,.75008178,.73381513,.75026894,.74691212,.74997258,.76116902,.75817531,.75008357,.75006461,.74997008,.72381169,.71553493,.57465512,.56654137,.76063538,.75977904,.76078445,.752648,.74638826,.72453952,.7158401,.74572051,.74660629,2
2020,,,.76694185,.76701367,.755059,.75976765,.76576006,.76083219,.7400654,.77078396,.72780377,.76255029,.7391991,.75075328,.77091801,.74486303,.75331759,.75221008,.75822586,.72174394,.73674572,.58178228,.60863572,.75070089,.76434165,.7464332,.76074505,.73800057,.7192893,.73407376,.73403704,.74579632,2
2025,,,.76799113,.76858747,.75631505,.76131117,.76742232,.76242495,.74196649,.7729165,.72847545,.76417035,.74249971,.75205457,.77347094,.74765497,.75448918,.75327784,.75988549,.725344,.73931891,.59237897,.61672246,.75359613,.76607627,.74963492,.76310492,.73974109,.7212227,.73546475,.73784786,.74789166,2
2030,,,.77027422,.771442,.7587862,.76398939,.77016085,.7650494,.74514967,.77604896,.73028177,.76688516,.74758786,.75461948,.77598035,.75084823,.75644863,.75549382,.76262361,.72945982,.74321955,.60226077,.62605357,.75692397,.76896131,.75296295,.76627398,.74323964,.72356081,.73774177,.74066472,.75018859,2
2035,,,.77274007,.77432543,.76125383,.76662064,.77290624,.76758903,.74822819,.77916896,.73184627,.76958871,.7523452,.75698423,.77793068,.7532391,.75828099,.75769889,.76525813,.73263085,.74702001,.60891134,.63474262,.75949126,.77175796,.75536299,.7691884,.74617839,.72527558,.7397843,.7418189,.75236136,2
2040,,,.77568704,.77756524,.7640866,.76958221,.77602571,.77047551,.75147557,.7826885,.73360699,.77264875,.75670868,.75954944,.78031337,.75556624,.76043957,.76025373,.76820427,.73564076,.75097942,.61414462,.64365304,.76202869,.77485269,.75777453,.7724545,.74892336,.72741437,.74251628,.7420395,.75455815,2
2045,,,.77911073,.78113496,.76739401,.77296513,.77951264,.77381349,.75502145,.78636813,.73577148,.77611202,.76032782,.76252806,.7833221,.75789464,.76318383,.76338297,.77156639,.73858207,.75523096,.6188063,.65266752,.76455218,.77835691,.76020598,.77612853,.75157928,.73018235,.74612874,.74358279,.75755829,2
2050,,,.78204066,.78416973,.770226,.77584153,.78246677,.77669644,.7581051,.78946024,.73757839,.77906007,.76263541,.76504081,.78630102,.75986457,.76535535,.76601952,.77443838,.7409997,.7587955,.62231451,.65983874,.76666367,.78137374,.76227522,.77931488,.75372279,.73269236,.74947101,.74552459,.76008737,2
2055,,,.78398353,.78622472,.77215517,.777798,.78449488,.77867895,.76024568,.79162216,.73860633,.78108197,.76396251,.76667589,.78861254,.76117158,.76663244,.76776075,.77639782,.74264205,.76128054,.62453681,.6643908,.76805425,.78350258,.76366061,.78155142,.75510705,.73443115,.75188947,.74717832,.76168203,2
2060,,,.78505319,.78742188,.77324855,.77889389,.78562766,.77979237,.76155651,.79293114,.7390278,.78222418,.76506257,.76754612,.79001319,.76188552,.76714706,.7686848,.7775023,.74358255,.76284969,.62556422,.66670102,.76878083,.78480905,.7643798,.78282243,.75611609,.73515522,.75318313,.7491262,.76285636,2
2065,,,.78583413,.78833663,.77405083,.77968985,.78644741,.78058708,.76252764,.79396755,.73943257,.78306633,.76656276,.76813829,.79075319,.76222616,.76759142,.76938748,.7783041,.74407691,.76401496,.62634885,.66835892,.76908809,.78577834,.76466465,.78368586,.75694317,.73535585,.7540378,.75080478,.7639581,2
