year,age,edclass,race,sex,population,tmort,trate
1990,42,3,0,0,973836.1875,1585.585083007813,162.8184661865234
1990,43,0,0,0,3845484,9743,253.3621215820313
1990,43,1,0,0,2701956,7956.0126953125,294.4538269042969
1990,43,3,0,0,1143527.875,1786.987548828125,156.2696990966797
1990,44,0,0,0,2892949,8548,295.47705078125
1990,44,1,0,0,2164953,7004.728515625,323.5510559082031
1990,44,3,0,0,727996.125,1543.271728515625,211.9889984130859
1990,45,0,0,0,2907083,9064,311.7901916503906
1990,45,1,0,0,2130489,7545.62451171875,354.1733703613281
1990,45,3,0,0,776593.875,1518.375244140625,195.5172882080078
1990,46,0,0,0,2822202,9860,349.3725891113281
1990,46,1,0,0,2140545.5,8319.1240234375,388.6450500488281
1990,46,3,0,0,681656.5625,1540.8759765625,226.0487213134766
1990,47,0,0,0,3001470,10966,365.3543090820313
1990,47,1,0,0,2275920.5,9277.830078125,407.6517639160156
1990,47,3,0,0,725549.5625,1688.16943359375,232.6745910644531
1990,48,0,0,0,2499431,10822,432.9785461425781
1990,48,1,0,0,1890788.125,9289.4599609375,491.3009338378906
1990,48,3,0,0,608642.875,1532.540283203125,251.7963104248047
1990,49,0,0,0,2598830,11130,428.2696533203125
1990,49,1,0,0,2012762,9432.708984375,468.64501953125
1990,49,3,0,0,586067.9375,1697.29052734375,289.6064453125
1990,50,0,0,0,2436814,11849,486.2496643066406
1990,50,1,0,0,1967805.875,10288.361328125,522.8341674804688
1990,50,3,0,0,469008.1875,1560.638916015625,332.7530212402344
1990,51,0,0,0,2312470,12407,536.52587890625
1990,51,1,0,0,1855466.25,10797.9541015625,581.9536743164063
1990,51,3,0,0,457003.75,1609.046142578125,352.0859680175781
1990,52,0,0,0,2265069,13405,591.814208984375
1990,52,1,0,0,1805132.5,11648.431640625,645.2951049804688
1990,52,3,0,0,459936.5625,1756.567749023438,381.9152221679688
1990,53,0,0,0,2169907,13841,637.8614501953125
1990,53,1,0,0,1733843.25,12016.85546875,693.0762329101563
