    11317.0000000000000000,   10545.2986221177870902,    9798.9312766335406195,    9045.2961725240293163,    8284.8054863736069819,    7488.1290190441995946,    6627.7395489030423050,    5718.1373493362425506,    4727.9509883544751574,    3643.1663350775461367,    2532.9156772874248418,    1479.8469242340058827,     693.5923308257354165,     227.4128265211587063,      54.2751399556753782,       7.7523422459525158,
    11690.0000000000000000,   11172.7079154253005981,   10380.7916930853552913,    9599.7188877148164465,    8788.5003016564151039,    7950.0166441020255661,    7036.5948948974773884,    6056.0969654048676603,    5031.0460590176098776,    3913.1830911867782561,    2711.4995054217138204,    1609.5412811426385815,     744.5109549812830210,     248.9094795186910289,      57.0783460897866135,       8.2769590373435218,
    12036.0000000000000000,   11578.3607876300811768,   11039.8644837333595206,   10208.1591903906719381,    9368.7495465431366028,    8472.7296800979875115,    7514.7530319216821226,    6472.5412948519388010,    5373.2114268831028312,    4237.9520573043691911,    2993.0371188862259260,    1780.6146142493696516,     867.2530786634289370,     286.4878058560134946,      67.3748204845554994,       9.2626736207784806,
    12250.0000000000000000,   11944.8871393203735352,   11471.1451806495279016,   10894.2489864142662555,    9995.3190430387749075,    9069.4180271222376177,    8047.0599085537241990,    6967.3786062621475139,    5783.9276304431668905,    4560.5669780297757825,    3298.6948393580314587,    2030.5662348486112023,     989.5587636172679140,     354.2381848934850836,      77.5293267093756953,      11.1862417563596175,
    10936.0000000000000000,   12169.2723929882049561,   11846.6999644937204721,   11336.8182068932383117,   10692.2693404930269025,    9703.6557304015041154,    8650.4111192569143896,    7497.6869061962906926,    6262.4191204735925567,    4928.8895541161991787,    3595.4599164413066319,    2277.5838936749642016,    1141.9702045768653988,     404.7295435207011565,      96.6645116269683484,      12.4178725514644182,
    11529.0000000000000000,   10865.1349544525146484,   12070.9446033481672202,   11707.5014432730022236,   11130.7147078809757659,   10384.3318692810698849,    9263.3038692618974892,    8082.6844756414611766,    6735.9219815949454642,    5361.1317333018605495,    3912.6018660267782252,    2508.9478635127875350,    1291.1167296701601117,     469.8408027066291197,     109.5198108677871147,      15.0013661295624807,
    13885.0000000000000000,   11448.7584509253501892,   10772.7815249374707491,   11923.4373577664664481,   11489.1565960651641944,   10807.0338169396127341,    9919.5292912745117064,    8653.5006469285199273,    7281.7714315900493602,    5782.9235467941416573,    4281.1317977784920004,    2754.4716987574602172,    1455.0392767489902326,     549.3830657774570909,     131.1983514652374652,      17.8331102730149276,
    16845.0000000000000000,   13787.5273466110229492,   11353.8483256918170810,   10646.5245071779736463,   11710.3654255224864755,   11168.3792553711627988,   10356.7044541502673383,    9289.4406489819502895,    7851.4944023932575874,    6313.8056953275499836,    4653.8078704307654334,    3086.3962625400317847,    1661.6351258277675242,     659.8748426107795240,     166.7432599211512922,      23.7783901748546427,
    19669.0000000000000000,   16736.5184721350669861,   13690.7389509216263832,   11243.0345143932845531,   10485.6553529233206064,   11430.7218419814907975,   10754.9255466714457725,    9786.6714216350683273,    8513.7720978780289443,    6929.7290336811984162,    5200.8078905509482865,    3507.1562186490436943,    1970.6023093127625998,     825.8492615907068739,     225.7761791927994182,      35.0210876119306320,
    21551.0000000000000000,   19550.3954756855964661,   16625.0535170434413885,   13572.3139924079732737,   11096.2007791389551130,   10265.6662984190406860,   11049.0502047216832580,   10200.9395857181989413,    9030.8470162213052390,    7552.4823230076453910,    5785.2843756297424989,    3975.1336483442005374,    2285.5084196915313441,    1009.8548463504012034,     294.4317763637933467,      49.4269228079046954,
