Period,pi,age
2050-2055,.99698258,20
2050-2055,.9947092,25
2050-2055,.99375667,30
2050-2055,.99337317,35
2050-2055,.99244847,40
2050-2055,.98979269,45
2050-2055,.9846339200000001,50
2050-2055,.9768717099999999,55
2050-2055,.96793742,60
2050-2055,.95537724,65
2050-2055,.93455746,70
2050-2055,.8958387799999999,75
2050-2055,.82570738,80
2050-2055,.70704472,85
2050-2055,.52913765,90
2050-2055,.30520115,95
2055-2060,.99714935,20
2055-2060,.99493654,25
2055-2060,.99402667,30
2055-2060,.99370176,35
2055-2060,.99287243,40
2055-2060,.9903951,45
2055-2060,.98554884,50
2055-2060,.9782501,55
2055-2060,.96990985,60
2055-2060,.9581182499999999,65
2055-2060,.93861001,70
2055-2060,.9019324,75
2055-2060,.83476329,80
2055-2060,.71909794,85
2055-2060,.54165125,90
2055-2060,.31299674,95
2060-2065,.99730143,20
2060-2065,.99516126,25
2060-2065,.9942931699999999,30
2060-2065,.99401269,35
2060-2065,.9932609999999999,40
2060-2065,.99094144,45
2060-2065,.98637566,50
2060-2065,.9794878299999999,55
2060-2065,.97168036,60
2060-2065,.96060736,65
2060-2065,.94226552,70
2060-2065,.90741372,75
2060-2065,.84295179,80
2060-2065,.73037829,85
2060-2065,.55383499,90
2060-2065,.32070779,95
2065-2070,.99744597,20
2065-2070,.99538603,25
2065-2070,.99455945,30
2065-2070,.99431497,35
2065-2070,.99362921,40
2065-2070,.99145441,45
2065-2070,.98715165,50
2065-2070,.980649,55
2065-2070,.97331895,60
2065-2070,.96292467,65
2065-2070,.94571091,70
2065-2070,.91256693,75
2065-2070,.8506462,80
2065-2070,.7410577,85
2065-2070,.56579567,90
2065-2070,.32862754,95
2070-2075,.99758045,20
2070-2075,.99560701,25
2070-2075,.99482126,30
2070-2075,.9946041,35
2070-2075,.99397238,40
2070-2075,.99192707,45
2070-2075,.98786553,50
2070-2075,.98171927,55
2070-2075,.97481559,60
2070-2075,.96502227,65
2070-2075,.94885893,70
2070-2075,.9173533,75
2070-2075,.85781293,80
2070-2075,.75105764,85
2070-2075,.57714677,90
2070-2075,.33646845,95
2075-2080,.99770859,20
2075-2080,.99582528,25
2075-2080,.9950796200000001,30
2075-2080,.99488395,35
2075-2080,.99429808,40
2075-2080,.99237165,45
2075-2080,.98853518,50
2075-2080,.98272443,55
2075-2080,.97621485,60
2075-2080,.9669747400000001,65
2075-2080,.9517735000000001,70
2075-2080,.9218350400000001,75
2075-2080,.86464687,80
2075-2080,.76064601,85
2075-2080,.58811314,90
2075-2080,.34411823,95
2080-2085,.99783344,20
2080-2085,.9960445999999999,25
2080-2085,.99533941,30
2080-2085,.99516142,35
2080-2085,.99461645,40
2080-2085,.99280359,45
2080-2085,.98918484,50
2080-2085,.98369879,55
2080-2085,.97756529,60
2080-2085,.96885836,65
2080-2085,.95458471,70
2080-2085,.9261633500000001,75
2080-2085,.87135243,80
2080-2085,.77028303,85
2080-2085,.59928439,90
2080-2085,.35200409,95
2085-2090,.99795637,20
2085-2090,.99626637,25
2085-2090,.99560129,30
2085-2090,.99543628,35
2085-2090,.9949261,40
2085-2090,.99322003,45
2085-2090,.98981019,50
2085-2090,.98463742,55
2085-2090,.97885752,60
2085-2090,.97065422,65
2085-2090,.9572611,70
2085-2090,.93029073,75
2085-2090,.87776254,80
2085-2090,.77965052,85
2085-2090,.6104263,90
2085-2090,.35997243,95
2090-2095,.9980772999999999,20
2090-2095,.99648915,25
2090-2095,.99586435,30
2090-2095,.99570952,35
2090-2095,.9952306,40
2090-2095,.99362758,45
2090-2095,.99042176,50
2090-2095,.9855557700000001,55
2090-2095,.98011669,60
2090-2095,.97239928,65
2090-2095,.95986246,70
2090-2095,.9343249,75
2090-2095,.88407705,80
2090-2095,.7889628,85
2090-2095,.6217759899999999,90
2090-2095,.36838586,95
2095-2100,.99819219,20
2095-2100,.99670529,25
2095-2100,.99611983,30
2095-2100,.99597258,35
2095-2100,.99552093,40
2095-2100,.99401459,45
2095-2100,.99100206,50
2095-2100,.98642754,55
2095-2100,.98130759,60
2095-2100,.97404722,65
2095-2100,.96231803,70
2095-2100,.93815556,75
2095-2100,.89013556,80
2095-2100,.79801964,85
2095-2100,.63299728,90
2095-2100,.37696415,95
