Period,age,pi
1985-1989,80,.66030997
1985-1989,85,.51795
1985-1989,90,.35501
1985-1989,95,.2124
1985-1989,100,.10945
1985-1989,105,.05212
1985-1989,110,0
1990-1994,20,.99462003
1990-1994,25,.99399
1990-1994,30,.99228001
1990-1994,35,.98997998
1990-1994,40,.98694998
1990-1994,45,.98137999
1990-1994,50,.97167999
1990-1994,55,.95568001
1990-1994,60,.93166
1990-1994,65,.89886999
1990-1994,70,.85179001
1990-1994,75,.78513998
1990-1994,80,.67491001
1990-1994,85,.53601998
1990-1994,90,.36910999
1990-1994,95,.22191
1990-1994,100,.11428
1990-1994,105,.053909998
1990-1994,110,0
1995-1999,20,.99518001
1995-1999,25,.99502999
1995-1999,30,.99353999
1995-1999,35,.99119997
1995-1999,40,.98756999
1995-1999,45,.9824
1995-1999,50,.97391999
1995-1999,55,.95925999
1995-1999,60,.93629998
1995-1999,65,.90508002
1995-1999,70,.85763001
1995-1999,75,.79124999
1995-1999,80,.67614001
1995-1999,85,.52814001
1995-1999,90,.35459
1995-1999,95,.20364
1995-1999,100,.099909998
1995-1999,105,.045419998
1995-1999,110,0
2000-2004,20,.99526
2000-2004,25,.99522001
2000-2004,30,.99441999
2000-2004,35,.99203998
2000-2004,40,.98808002
2000-2004,45,.98229998
2000-2004,50,.97472
2000-2004,55,.96223003
2000-2004,60,.94195002
2000-2004,65,.91298002
2000-2004,70,.86869001
2000-2004,75,.80137002
2000-2004,80,.68715
2000-2004,85,.52851999
2000-2004,90,.34435999
2000-2004,95,.18901999
2000-2004,100,.087980002
2000-2004,105,.038479999
2000-2004,110,0
2005-2009,20,.99523002
2005-2009,25,.99497002
2005-2009,30,.99439001
2005-2009,35,.99267
2005-2009,40,.98887002
2005-2009,45,.98294997
2005-2009,50,.97474998
2005-2009,55,.96449
2005-2009,60,.94747001
2005-2009,65,.92241001
2005-2009,70,.88278002
2005-2009,75,.82002997
2005-2009,80,.71789002
2005-2009,85,.55887002
2005-2009,90,.36599001
2005-2009,95,.20113
2005-2009,100,.092139997
2005-2009,105,.039250001
2005-2009,110,0
2010-2014,20,.99576998
2010-2014,25,.99513
2010-2014,30,.99432999
2010-2014,35,.99294001
2010-2014,40,.99001002
2010-2014,45,.98426002
2010-2014,50,.97564
2010-2014,55,.96455002
2010-2014,60,.95017999
2010-2014,65,.92778999
2010-2014,70,.89108998
2010-2014,75,.83209997
2010-2014,80,.73746002
2010-2014,85,.58853
2010-2014,90,.38841999
2010-2014,95,.21816
2010-2014,100,.10084
2010-2014,105,.042660002
2010-2014,110,0
2015-2018,20,.99535
2015-2018,25,.99422002
2015-2018,30,.99308002
2015-2018,35,.99159002
2015-2018,40,.98934001
2015-2018,45,.98447001
2015-2018,50,.97587001
2015-2018,55,.96376002
2015-2018,60,.94857001
2015-2018,65,.92865998
2015-2018,70,.89326
2015-2018,75,.83629
2015-2018,80,.74251002
2015-2018,85,.60470998
2015-2018,90,.41670001
2015-2018,95,.24209
2015-2018,100,.11722
2015-2018,105,.05088
2015-2018,110,0
