fiveyear,irr_data,year
1950,8.213115505079989,1950
1955,8.314690505207277,1955
1960,8.363524953820829,1960
1965,8.21832306960323,1965
1970,7.858292562252584,1970
1975,7.518017681433724,1975
1980,7.423688931755573,1980
1985,7.579608249049059,1985
1990,7.778051414483953,1990
1995,7.831438948697465,1995
2000,7.719933352739941,2000
2005,7.564794655121854,2005
2010,7.437453912445136,2010
2015,7.332116442563835,2015
