fiveyear,avghours_data,year
1,100.7748920059272,1950
2,100.961601273712,1955
3,101.13074034885,1960
4,101.0999052301357,1965
5,100.541984358574,1970
6,99.9024980827385,1975
7,99.81947646297117,1980
8,100.4088551286406,1985
9,101.031375218684,1990
10,100.9900193932487,1995
11,99.84511912404658,2000
12,97.97059023697486,2005
13,96.36772148295293,2010
14,95.53260787890822,2015
